LINE_CODE,ORGANIZATION_ID,LINE_DIVISION,LINE_NAME,ENTER_BY,ENTER_DATE,LAST_MODIFY_BY,LAST_MODIFY_DATE,LINE_PRODUCT_DIVISION,CAPACITY,UPH_VALUE,CAPACITY_UOM,USE_RATE,LINE_STATUS,ACTION_DATE,LINE_STATUS_CODE,MES_DISPLAY_GROUP,MES_DISPLAY_YN,MES_DISPLAY_SEQUENCE,DAY_START_TIME,NIGHT_START_TIME,SHOW_TABLE_YN,LINE_NAME_NUM,MASK_LOT_NO,MASK_CHECK_DATE,SQUEZE_LOT_NO,SQUEZE_CHECK_DATE,SOLDER_LOT_NO,SOLDER_CHECK_DATE,MODEL_NAME,MODEL_SUFFIX,ITEM_CODE,CCS_STATUS,FULL_CHECK_DATE,CCS_DATE,REFLOW_TEMP_VALUE,REFLOW_SOLDER_TYPE,REFLOW_CHECK_DATE,NSNP_STATUS,PCB_SCAN_STATUS,PCB_ITEM_CODE,PCB_SCAN_DATE,NSNP_START_DATE,PCB_ITEM,CHILD_ITEM_CODE,RUN_NO,REAL_ST,LAST_ACTUAL_DATE,COMMENTS,NSNP_REASON,NSNP_LOCK_TYPE,ACTIVE_YN,HEALTH_POINT,MASTER_MODEL_NAME,SMT_MODEL_NAME,PRODUCTION_TYPE,LINE_CODE_GROUP,FEEDER_LAYOUT_NAME,SQUEEZE_LOT_NO,SQUEEZE_CHECK_DATE,LAST_MODEL_NAME,LAST_MASK_LOT_NO,XRAY_CHECK_DATE,AOI_SAMPLE_CHECK_DATE,LV_SAMPLE_CHECK_DATE,TILT_SAMPLE_CHECK_DATE,RUN_NO_CHANGED_BY,RUN_DATE,SPEC_CHECK_STATUS,SPEC_CHECK_DATE,BACKUPBLOCK_CHECK_DATE,BACKUPBLOCK_LOT_NO,ROUTER_CHECK_DATE,ROUTER_LOT_NO,ROMWRITE_CHECK_DATE,ROMWRITE_LOT_NO,FIXTURE_CHECK_DATE,FIXTURE_LOT_NO,SAMPLE_CHECK_DATE,SAMPLE_LOT_NO,PROFILE_CHECK_DATE,PROFILE_LOT_NO,MASK_LOT_NO2,MASK_CHECK_DATE2,SQUEEZE_LOT_NO2,SQUEEZE_CHECK_DATE2,LAST_MASK_LOT_NO2,SAMPLE_CHECK_DATE2,SAMPLE_LOT_NO2,LAST_BACKUPBLOCK_LOT_NO,LAST_SQUEEZE_LOT_NO,LAST_SQUEEZE_LOT_NO2,LAST_ROUTER_LOT_NO,LAST_ROMWRITE_LOT_NO,LAST_FIXTURE_LOT_NO,LAST_SAMPLE_LOT_NO,LAST_SAMPLE_LOT_NO2,LAST_PROFILE_LOT_NO,LAST_SOLDER_LOT_NO,LAST_SPEC_CHECK_STATUS,LAST_RUN_NO,LAST_SOLDER_CHECK_DATE,LAST_PCB_ITEM,ICT_CHECK_DATE,ICT_LOT_NO,LAST_ICT_CHECK_DATE,LAST_ICT_LOT_NO,LAST_SPEC_CHECK_DATE,SAMPLE_ICT_CHECK_DATE,SAMPLE_ICT_LOT_NO,SAMPLE_ICT_CHECK_DATE2,SAMPLE_ICT_LOT_NO2,LAST_SAMPLE_ICT_LOT_NO,LAST_SAMPLE_ICT_LOT_NO2,SOLDER_TYPE,LCR_CHECK_DATE,LCR_LOT_NO,NOZZLE_CHECK_STATUS,NOZZLE_CHECK_DATE,LINE_NAME_GROUP,LINE_CODE_MACHINE,SAOI_NG_REVIEW_URL,INTERLOCK_COUNTER,MAOI_NG_REVIEW_URL,EPOXY_CHECK_DATE,EPOXY_LOT_NO,LAST_EPOXY_CHECK_DATE,LAST_EPOXY_LOT_NO,WATCHER_LINE_CODE,LINE_SUB_NAME,LINE_SUB_PRODUCT_DIVISION,LAST_SPI_RESET_DATE,LAST_AOI_RESET_DATE,SAMPLE_AOI_CHECK_DATE,SAMPLE_AOI_CHECK_DATE2,SAMPLE_AOI_LOT_NO,SAMPLE_AOI_LOT_NO2,SAMPLE_HIPOT_CHECK_DATE,SAMPLE_HIPOT_CHECK_DATE2,SAMPLE_HIPOT_LOT_NO,SAMPLE_HIPOT_LOT_NO2,SAMPLE_FCT_CHECK_DATE,SAMPLE_FCT_CHECK_DATE2,SAMPLE_FCT_LOT_NO,SAMPLE_FCT_LOT_NO2,SAMPLE_CASE_CHECK_DATE,SAMPLE_CASE_CHECK_DATE2,SAMPLE_CASE_LOT_NO,SAMPLE_CASE_LOT_NO2,SAMPLE_FT1_CHECK_DATE,SAMPLE_FT1_CHECK_DATE2,SAMPLE_FT1_LOT_NO,SAMPLE_FT1_LOT_NO2,SAMPLE_HIPOT2_CHECK_DATE,SAMPLE_HIPOT2_CHECK_DATE2,SAMPLE_HIPOT2_LOT_NO,SAMPLE_HIPOT2_LOT_NO2,SAMPLE_ATE_CHECK_DATE,SAMPLE_ATE_CHECK_DATE2,SAMPLE_ATE_LOT_NO,SAMPLE_ATE_LOT_NO2,JIG_FUNC_ICT_CHECK_DATE,JIG_FUNC_ICT_LOT_NO,JIG_FUNC_HIPOT_CHECK_DATE,JIG_FUNC_HIPOT_LOT_NO,JIG_FUNC_CALIB_CHECK_DATE,JIG_FUNC_CALIB_LOT_NO,LINE_WORKER_ID,LINE_WORKER_CHANGE_DATE,LAST_LINE_STATUS_CHANGE_DATE,DAY_PLAN_QTY,NIGHT_PLAN_QTY
17,1,D,A09,ADMIN,2023-10-25 16:01:29,FULL CHECK,2024-11-13 08:26:06,SMD,,,,,S,,N,*,N,35,,,,205,,,,,,,,,,,,,,,,WAIT,,,,,,,,,,,,,N,,,,,A09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A09,,,,,,,,,,,A,2024-06-28 11:16:39,2024-06-28 11:16:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,D,A10,ADMIN,2023-10-25 16:01:29,FULL CHECK,2024-12-10 16:50:33,SMD,,,,,S,,STOP009,*,N,36,,,,206,,,,,,,,,,,,,,,,WAIT,,,,,,,,,,,,,N,,,,,A10,,,,ML92A320508A,SSSB-0004-001,,,,,,,P,2025-10-13 19:11:17,,,,,,,,,,,,,,,,,,,,,SSB-015,,,,,000010,000010,,,P,19AXC3E10,,B,,,,,2024-12-10 09:43:16,,,,,,,,,,,,A10,,,,,,,2024-12-10 10:26:12,A241202002,,,A,2024-09-21 17:25:00,2024-12-08 08:56:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,D,A11,ADMIN,2023-10-25 16:01:29,FULL CHECK,2025-04-02 19:11:03,SMD,,,,,S,,STOP018,*,N,37,,,,207,,,,,,,,,,,,,,,,WAIT,,,,,,,,,,,,,N,,,,,A11,,SSS-022,2025-09-07 22:51:43,ML92A320758A,SSSB-0128,,,,,,,P,2025-11-05 12:20:15,,,,,,,,,,,,,,,,,,,,,SSB-029,,,,,000011,000011,,,P,21AY3Y207,,B,,,,,2025-04-02 05:02:15,,,,,,,,,,,,A11,,,,,,,2025-03-31 15:56:44,A250327001,,,A,2024-06-21 11:02:22,2024-06-21 11:02:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,D,S08,ADMIN,2023-10-25 16:01:29,FULL CHECK,2025-11-23 03:17:03,SMD,,,,,S,,STOP009,*,Y,8,,,,108,,,,,,,,,,,,,,,,WAIT,,,,,,,,,,,,,N,,,,,S08,,,,ML92A320712A,SSSB-0162,,,,,,,P,2025-12-16 09:45:52,,,,,,,,,,,,,,,,,,,,,SSB-012,,,,,000013,000013,,,P,23AXA1E85,,B,,,,,2025-11-22 02:18:05,,,,,,,,,,,,S08,,,,,,,2025-11-22 20:53:19,B251121004,,,A,2025-10-02 10:00:31,2025-10-21 10:38:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,D,S07,ADMIN,2023-10-25 16:01:29,FULL CHECK,2026-02-03 12:33:21,SMD,,,,,N,,N,*,Y,7,,,,107,,,,,,,,,,,,,,,,WAIT,,,,,,,,,,,,,N,,,,,S07,,,,ML92A320861A,SSSB-0303,,,,,,,P,2026-02-21 08:36:22,,,,,,,,,,,,,,,,,,,,,SSB-015,,,,,000063,000063,,,P,25AL1HF97,,B,,,,,2026-02-02 14:44:33,,,,,,,,,,,,S07,,,,,,,2026-02-01 14:40:23,B260126011,,,A,2025-04-19 12:05:27,2026-01-23 12:46:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,D,S05,ADMIN,2023-10-25 16:01:29,23117077,2025-11-24 13:40:53,SMD,,,,,S,,STOP018,*,Y,5,,,,105,,,,,,,,,,,,,,,,WAIT,,,,,,,,,,,,,N,,,,,S05,,,,NB90A910127A,SSMS-0020,,,,,,,P,2025-12-04 08:44:45,,,,,,,,,,,,,,,,,,,,,SSS-022,,,,,000014,000014,,B251123008,P,27AYB9F6F,2025-11-24 13:40:53,T,,,,,2025-11-24 13:40:08,,,,,,,,,,,,S05,,,4798,,,,,,,,A,2024-06-21 11:03:19,2025-08-28 09:58:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,D,S03,ADMIN,2023-10-25 16:01:29,FULL CHECK,2026-04-29 17:04:07,SMD,,,,,N,,N,*,Y,3,,,,103,SSES-0458,2026-04-06 07:55:50,,,B260416160,2026-04-29 09:16:45,MW92A281076A,,MW92A281076A,,2026-04-29 17:04:07,2026-04-05 19:33:16,,,,WAIT,,,,,T,,41AL4308C,,,,,,N,,MW92A281076A,MW92A281076A,P,S03,MW92A281076A,SSS-015,2026-04-06 07:55:40,MW92A281076A,SSES-0458,,,,,PDA M,2026-04-05 19:33:31,P,2026-04-28 22:21:20,,,,,,,,,2026-04-06 08:38:15,000001,,,,,,,,2026-04-06 08:38:15,000001,,SSS-052,,,,,000001,000001,,B260416160,P,41AL4308C,2026-04-29 09:16:45,T,,,,,2026-04-05 01:59:05,,,,,,,F,,,,,S03,,,,,,,,,,,B,2024-06-21 11:03:50,2026-04-08 14:22:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,D,S02,ADMIN,2023-10-25 16:01:29,FULL CHECK,2026-04-29 18:35:22,SMD,,,,,N,,N,*,Y,2,,,,102,SSES-0508,2026-04-24 14:26:50,,,B260416153,2026-04-29 07:30:18,MW93A100527A,,MW93A100527A,,2026-04-29 18:35:22,2026-04-24 14:06:49,,,,WAIT,,,,,T,,43AL4P675,,,,,,N,,MW93A100527A,MW93A100527A,P,S02,MW93A100527A,SSS-018,2026-04-24 14:14:32,MW92A281075A,SSES-0499,,,,,PDA M,2026-04-24 14:06:59,P,2026-04-28 22:21:13,,,,,,,,,2026-04-24 14:08:16,000001,,,,,,,,2026-04-24 14:08:16,000001,,SSS-018,,,,,000057,000057,,B260416152,P,43AL4M608,2026-04-29 07:29:54,T,,,,,2026-04-24 06:32:00,,,,,,,F,,,,,S02,,,,,,,,,,,B,2024-06-21 14:33:52,2025-09-26 03:27:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17027354,,,,
45,1,D,S01,ADMIN,2023-10-25 16:01:29,FULL CHECK,2026-04-29 17:03:54,SMD,,,,,N,,N,*,Y,1,,,,101,SSES-0437,2026-04-28 04:46:54,,,,,MW93A100406A,,MW93A100406A,,2026-04-29 17:03:54,2026-04-28 04:19:25,,,,WAIT,,,,,T,,45AL3TF2F,,,,,,N,,MW93A100406A,MW93A100406A,P,S01,MW93A100406A,SSS-001,2026-04-28 04:37:37,MW93A100406A,SSES-0420,,,,,PDA M,2026-04-28 04:19:47,P,2026-04-29 04:46:46,,,,,,,,,2026-04-28 04:22:39,000001,,,,,,,,2026-04-28 04:22:39,000001,,SSS-028,,,,,000065,000065,,,P,45AL3TF2F,,T,,,,,2026-04-27 21:56:36,,,,,,,F,,,,,S01,,,,,,,,,,,B,2024-06-21 14:34:19,2024-06-21 14:34:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17027354,,,,
47,1,D,B04,ADMIN,2023-10-25 16:01:29,FULL CHECK,2024-10-28 20:16:01,SMD,,,,,S,,STOP019,*,N,41,,,,301,,,,,,,,,,,,,,,,WAIT,,,,,,,,,,,,,N,,,,,B04,,SSS-006,2025-06-12 07:24:34,MC92A250752A,SSPB-0064,,,,,,,P,2025-02-03 14:02:31,,,,,,,,,,,,,,,,,,,,,SSB-013,,,,,000047,000047,,,P,47AXAV6C0,,B,,,,,2024-10-28 08:44:40,,,,,,,,,,,,B04,,,,,,,2024-10-28 17:10:57,B241009004,,,B,2024-09-10 19:04:34,2024-06-21 11:04:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,D,B05,ADMIN,2023-10-25 16:01:29,FULL CHECK,2024-10-29 12:18:16,SMD,,,,,S,,N,*,N,42,,,,302,,,,,,,,,,,,,,,,WAIT,,,,,,,,,,,,,N,,,,,B05,,,,MW93A100433A,SSES-0083,,,,,,,P,2024-11-15 06:23:18,,,,,,,,,,,,,,,,,,,,,SSS-026,,,,,000065,000065,,B241025053,P,49AXAV6C1,2024-10-29 08:55:55,T,,,,,2024-10-29 09:02:07,,,,,,,,,,,,B05,,,,,,,,,,,B,2024-06-21 11:04:54,2024-06-21 11:04:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1,D,B06,ADMIN,2023-10-25 16:01:29,LINE STATUS,2024-11-19 09:21:22,SMD,,,,,N,,N,*,N,43,,,,303,,,,,,,,,,,,,,,,WAIT,,,,,,,,,,,,,N,,,,,B06,,,,MC92A250591A,SSPB-0074,,,,,,,P,2024-12-16 20:33:02,,,,,,,,,,,,,,,,,,,,,SSB-016,,,,,000051,000051,,,P,51AXBJB86,,B,,,,,2024-11-19 07:22:09,,,,,,,,,,,,B06,,,,,,,2024-11-15 09:44:40,B241009011,,,B,2024-06-21 11:05:10,2024-06-21 11:05:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1,D,B07,ADMIN,2023-10-25 16:01:29,FULL CHECK,2024-11-19 09:50:01,SMD,,,,,S,,N,*,N,44,,,,304,,,,,,,,,,,,,,,,WAIT,,,,,,,,,,,,,N,,,,,B07,,,,ML92A280423A,SSAS-0263-001,,,,,,,P,2025-10-31 07:32:33,,,,,,,,,,,,,,,,,,,,,SSS-009,,,,,000045,000045,,B241115065,P,53AXBGB3E,2024-11-19 09:04:38,T,,,,,2024-11-19 07:22:14,,,,,,,,,,,,B07,,,,,,,,,,,B,2024-06-21 11:05:22,2024-06-21 11:05:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1,D,B08,ADMIN,2023-10-25 16:01:29,LINE STATUS,2025-04-13 04:44:24,SMD,,,,,S,,STOP008,*,N,45,,,,305,,,,,,,,,,,,,,,,WAIT,,,,,,,,,,,,,N,,,,,B08,,,,ML92A280493A,,,,,,,,P,2025-06-17 09:21:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55AY4B3D2,,T,,,,,,,,,,,,,,,,,B08,,,,,,,,,,,B,2024-06-21 11:05:37,2024-06-21 11:05:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
